Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.94*D*D + 0.06* C*C) or GARCH (1;1) model for INDIAVIX, Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.94*J*J + 0.06* I*I) or GARCH (1;1) model for INDIAVIX, Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
05-Jan-17,BOSCHLTD,20903.8,20336.8,  0.0275,  0.0191,  0.0197,  0.3764,20982.1,20411.85,  0.0276,  0.0188,  0.0195,  0.3722,  0.0197,  0.3764
05-Jan-17,BPCL,672.7,655.45,  0.0260,  0.0160,  0.0168,  0.3209,664.15,646.8,  0.0265,  0.0157,  0.0165,  0.3156,  0.0168,  0.3209
05-Jan-17,BRITANNIA,2865.8,2852.4,  0.0047,  0.0118,  0.0115,  0.2204,2873.6,2857.9,  0.0055,  0.0122,  0.0119,  0.2281,  0.0119,  0.2281
05-Jan-17,CADILAHC,367.1,362.05,  0.0139,  0.0210,  0.0207,  0.3950,367.45,363.2,  0.0116,  0.0217,  0.0212,  0.4057,  0.0212,  0.4057
05-Jan-17,CAIRN,254.1,243.4,  0.0430,  0.0205,  0.0225,  0.4303,254.6,244.4,  0.0409,  0.0203,  0.0221,  0.4217,  0.0225,  0.4303
05-Jan-17,CANBK,266.35,263.9,  0.0092,  0.0196,  0.0191,  0.3650,265.25,261.95,  0.0125,  0.0201,  0.0197,  0.3766,  0.0197,  0.3766
05-Jan-17,CASTROLIND,391.5,386.05,  0.0140,  0.0153,  0.0152,  0.2901,392.2,386.4,  0.0149,  0.0156,  0.0155,  0.2964,  0.0155,  0.2964
05-Jan-17,CEATLTD,1192.4,1180.4,  0.0101,  0.0213,  0.0208,  0.3979,1196.2,1185,  0.0094,  0.0204,  0.0199,  0.3799,  0.0208,  0.3979
05-Jan-17,CENTURYTEX,836.85,826.25,  0.0127,  0.0262,  0.0256,  0.4888,840,828.9,  0.0133,  0.0269,  0.0263,  0.5030,  0.0263,  0.5030
05-Jan-17,CESC,647.2,646.35,  0.0013,  0.0148,  0.0144,  0.2742,649.95,649.2,  0.0012,  0.0152,  0.0147,  0.2812,  0.0147,  0.2812
05-Jan-17,CIPLA,579.85,568.25,  0.0202,  0.0162,  0.0165,  0.3154,581.45,569.25,  0.0212,  0.0168,  0.0171,  0.3259,  0.0171,  0.3259
05-Jan-17,COALINDIA,308.3,306.15,  0.0070,  0.0139,  0.0136,  0.2594,305.1,300.8,  0.0142,  0.0130,  0.0131,  0.2501,  0.0136,  0.2594
05-Jan-17,COLPAL,898.65,897.65,  0.0011,  0.0093,  0.0091,  0.1730,901.45,898.95,  0.0028,  0.0097,  0.0095,  0.1807,  0.0095,  0.1807
05-Jan-17,CONCOR,1174.3,1151.3,  0.0198,  0.0167,  0.0169,  0.3225,1174.4,1153,  0.0184,  0.0154,  0.0156,  0.2979,  0.0169,  0.3225
