CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURUSDINR29-MAR-2017CE67,1.8325,0,0,0,,1.835,.0025,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE67.25,1.635,0,0,0,,1.635,0,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE67.5,1.45,0,0,0,,1.4475,.0025,2,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE67.75,1.275,0,0,0,,1.2675,.0075,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE68,1.11,0,0,0,,1.1025,.0075,14,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE68.25,.96,0,0,0,,.9475,.0125,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE68.5,.8225,0,0,0,,.81,.0125,100,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE68.75,.6975,0,0,0,,.6825,.015,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE69,.47,.55,.55,.52,.52,.52,.05,13524,51,51,,3547020,28020
OPTCURUSDINR29-MAR-2017CE69.25,.4875,0,0,0,,.4725,.015,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE69.5,.4025,0,0,0,,.385,.0175,1,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE69.75,.3275,0,0,0,,.3125,.015,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE70,.25,.25,.27,.2025,.27,.27,.02,1851,52,52,,3653952.5,13952.5
OPTCURUSDINR29-MAR-2017CE70.25,.21,0,0,0,,.1975,.0125,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE70.5,.1675,0,0,0,,.155,.0125,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE70.75,.13,0,0,0,,.12,.01,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE71,.1,0,0,0,,.09,.01,235,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE71.25,.0775,0,0,0,,.0675,.01,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE71.5,.0575,0,0,0,,.05,.0075,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE71.75,.0425,0,0,0,,.0375,.005,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE63.5,.0025,0,0,0,,.0025,0,1,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE63.75,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE64,.005,0,0,0,,.0025,.0025,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE64.25,.005,0,0,0,,.005,0,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE64.5,.0075,0,0,0,,.005,.0025,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE64.75,.01,0,0,0,,.0075,.0025,0,0,0,,0,0
