INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,KOTAKBANK ,25/01/2017,00000713.40,00000713.40,00000695.25,00000697.35,000000009414400,     4040773480.00,          5749600,             7187,             6404
FUTSTK    ,KOTAKBANK ,23/02/2017,00000715.05,00000715.05,00000698.50,00000699.85,000000000234400,       30984560.00,            44000,              055,              053
FUTSTK    ,KPIT      ,25/01/2017,00000136.50,00000138.75,00000135.85,00000137.50,000000003536000,      187344000.00,          1360000,              340,              334
FUTSTK    ,KSCL      ,25/01/2017,00000419.80,00000424.25,00000411.50,00000415.95,000000002193000,      384038100.00,           916500,              611,              590
FUTSTK    ,KTKBANK   ,25/01/2017,00000116.45,00000117.20,00000115.20,00000115.95,000000014580375,      704993212.50,          6069625,              823,              783
FUTSTK    ,KTKBANK   ,23/02/2017,00000116.50,00000116.75,00000116.35,00000116.45,000000000221250,        8587818.75,            73750,              010,              010
FUTSTK    ,L&TFH     ,25/01/2017,00000089.55,00000092.45,00000089.30,00000091.60,000000024777000,     2074158000.00,         22698000,             2522,             2364
FUTSTK    ,L&TFH     ,23/02/2017,00000090.00,00000092.60,00000090.00,00000091.85,000000000333000,       15686550.00,           171000,              019,              019
FUTSTK    ,LICHSGFIN ,25/01/2017,00000534.00,00000534.00,00000518.05,00000519.10,000000009399500,     3276675985.00,          6253500,             5685,             5394
FUTSTK    ,LICHSGFIN ,23/02/2017,00000532.00,00000532.00,00000520.20,00000520.30,000000000113300,       36982275.00,            70400,              064,              061
FUTSTK    ,LICHSGFIN ,30/03/2017,00000523.50,00000523.50,00000523.50,00000523.50,000000000002200,         575850.00,             1100,              001,              001
FUTSTK    ,LT        ,25/01/2017,00001375.20,00001383.65,00001373.50,00001378.30,000000008045500,     2602816050.00,          1887500,             3775,             3303
FUTSTK    ,LT        ,23/02/2017,00001380.25,00001387.10,00001380.25,00001383.80,000000000048000,       28362175.00,            20500,              041,              041
FUTSTK    ,LUPIN     ,25/01/2017,00001506.35,00001512.80,00001488.50,00001494.70,000000004402400,     1373867380.00,           916400,             2291,             2135
FUTSTK    ,LUPIN     ,23/02/2017,00001515.00,00001515.80,00001498.00,00001501.30,000000000043200,       22280660.00,            14800,              037,              036
FUTIDX    ,BANKNIFTY ,25/01/2017,00018150.00,00018150.00,00017923.50,00017941.85,000000002323560,    55764927910.00,          3096600,            77415,            55173
FUTIDX    ,BANKNIFTY ,23/02/2017,00018146.45,00018196.60,00018000.25,00018012.90,000000000064120,      922805764.00,            51080,             1277,              833
FUTIDX    ,BANKNIFTY ,30/03/2017,00018276.15,00018276.15,00018080.00,00018089.45,000000000003120,       36997978.00,             2040,              051,              044
FUTSTK    ,ABIRLANUVO,25/01/2017,00001297.00,00001304.90,00001286.35,00001293.45,000000003382800,      828005580.00,           638000,             1595,             1332
FUTSTK    ,ABIRLANUVO,23/02/2017,00001303.95,00001308.30,00001295.40,00001295.40,000000000073200,        5734320.00,             4400,              011,              011
FUTSTK    ,ACC       ,25/01/2017,00001344.40,00001353.60,00001320.85,00001324.90,000000001315200,      819469200.00,           614800,             1537,             1434
FUTSTK    ,ACC       ,23/02/2017,00001359.15,00001359.15,00001329.20,00001330.25,000000000008000,        6460540.00,             4800,              012,              008
FUTSTK    ,ADANIENT  ,25/01/2017,00000077.40,00000078.95,00000077.10,00000078.05,000000015904000,      521996000.00,          6688000,              836,              781
FUTSTK    ,ADANIENT  ,23/02/2017,00000077.40,00000077.40,00000077.40,00000077.40,000000000080000,         619200.00,             8000,              001,              001
FUTSTK    ,ADANIPORTS,25/01/2017,00000274.85,00000277.35,00000272.95,00000275.20,000000015832500,     1216393625.00,          4415000,             1766,             1665
FUTSTK    ,ADANIPORTS,23/02/2017,00000276.00,00000276.00,00000275.75,00000276.00,000000000082500,        4137750.00,            15000,              006,              006
FUTSTK    ,ADANIPOWER,25/01/2017,00000030.90,00000031.85,00000030.85,00000031.75,000000111920000,      635190000.00,         20200000,             1010,              952
FUTSTK    ,ADANIPOWER,23/02/2017,00000031.20,00000031.85,00000031.20,00000031.85,000000000520000,        4431000.00,           140000,              007,              006
FUTSTK    ,AJANTPHARM,25/01/2017,00001824.95,00001824.95,00001760.00,00001775.30,000000000354000,      278202400.00,           155600,              389,              377
FUTSTK    ,ALBK      ,25/01/2017,00000061.65,00000062.50,00000060.80,00000061.50,000000013280000,      497694500.00,          8090000,              809,              781
FUTSTK    ,ALBK      ,23/02/2017,00000062.25,00000062.25,00000061.00,00000061.45,000000000820000,       20229000.00,           330000,              033,              028
FUTSTK    ,AMARAJABAT,25/01/2017,00000894.70,00000908.95,00000889.65,00000899.50,000000000556200,      470889660.00,           522600,              871,              839
FUTSTK    ,AMBUJACEM ,25/01/2017,00000214.85,00000217.40,00000211.65,00000212.30,000000013095000,     1177740625.00,          5500000,             2200,             2078
FUTSTK    ,AMBUJACEM ,23/02/2017,00000217.20,00000217.20,00000211.30,00000211.70,000000000110000,       12801000.00,            60000,              024,              024
FUTSTK    ,ANDHRABANK,25/01/2017,00000048.40,00000050.10,00000047.65,00000047.85,000000019980000,      189011500.00,          3930000,              393,              378
FUTSTK    ,ANDHRABANK,23/02/2017,00000048.80,00000049.25,00000047.70,00000047.70,000000000670000,       12054000.00,           250000,              025,              021
