DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
13-JAN-2017,FUTSTK,ICIL,25-JAN-2017,173.80
13-JAN-2017,FUTSTK,ICIL,23-FEB-2017,174.85
13-JAN-2017,FUTSTK,ICIL,30-MAR-2017,176.00
13-JAN-2017,FUTSTK,IDBI,25-JAN-2017,73.90
13-JAN-2017,FUTSTK,IDBI,23-FEB-2017,73.50
13-JAN-2017,FUTSTK,IDBI,30-MAR-2017,74.70
13-JAN-2017,FUTSTK,IDEA,25-JAN-2017,68.80
13-JAN-2017,FUTSTK,IDEA,23-FEB-2017,68.20
13-JAN-2017,FUTSTK,IDEA,30-MAR-2017,67.85
13-JAN-2017,FUTSTK,IDFC,25-JAN-2017,57.10
13-JAN-2017,FUTSTK,IDFC,23-FEB-2017,57.15
13-JAN-2017,FUTSTK,IDFC,30-MAR-2017,57.65
13-JAN-2017,FUTSTK,IDFCBANK,25-JAN-2017,63.45
13-JAN-2017,FUTSTK,IDFCBANK,23-FEB-2017,63.70
13-JAN-2017,FUTSTK,IDFCBANK,30-MAR-2017,64.15
13-JAN-2017,FUTSTK,IFCI,25-JAN-2017,28.15
13-JAN-2017,FUTSTK,IFCI,23-FEB-2017,28.00
13-JAN-2017,FUTSTK,IFCI,30-MAR-2017,27.95
13-JAN-2017,FUTSTK,IGL,25-JAN-2017,929.70
13-JAN-2017,FUTSTK,IGL,23-FEB-2017,932.90
13-JAN-2017,FUTSTK,IGL,30-MAR-2017,938.90
13-JAN-2017,FUTSTK,INDIACEM,25-JAN-2017,131.60
13-JAN-2017,FUTSTK,INDIACEM,23-FEB-2017,132.05
13-JAN-2017,FUTSTK,INDIACEM,30-MAR-2017,133.45
13-JAN-2017,FUTSTK,INDUSINDBK,25-JAN-2017,1215.85
13-JAN-2017,FUTSTK,INDUSINDBK,23-FEB-2017,1220.65
13-JAN-2017,FUTSTK,INDUSINDBK,30-MAR-2017,1232.60
13-JAN-2017,FUTSTK,INFRATEL,25-JAN-2017,354.40
13-JAN-2017,FUTSTK,INFRATEL,23-FEB-2017,356.15
